
Brand,Sub-brand,Length (yards),Multicolor,Weight,Rows,Color 1,Color 2,Color 3
Knit One Crochet Too,Ty-Dy,350,Yes,Medium,30,Rainbow,Red,Blue
Filatura di Crosa,Zara,137,No,Light,32,Royal Blue,,
Lang,Merino+,142,No,Medium,30,Forest Green,,
Schachenmayr,Originals,87,No,Medium,30,Pacific,,
Classic Elite,Liberty Wool,122,No,Medium,30,Red,,
Sublime,Baby Cashmere Merino Silk,116,No,Fine,40,Pebble,,
James C. Brett,Marble Chunky,169,Yes,Bulky,18,Jupiter,Purple,Blue
Berroco,Weekend,206,No,Light,32,Surf,,
Rowan,Baby Merino Silk DK,181,No,Light,32,Ivory,,
Scheepjes,Colour Crafter,300,No,Medium,30,Amersfoort,,
Lion Brand,Vanna's Choice,170,No,Medium,30,Magenta,,
Sirdar,Country Style DK,324,No,Light,32,Clover,,
Cascade,Venezia Worsted,284,No,Medium,30,Plum,,
Debbie Bliss,Rialto DK,115,No,Light,32,Teal,,
Sublime,Isla,137,Yes,Light,32,Festival,Pink,Purple
Malabrigo,Lace,470,No,Lace,50,Paris Night,,
We Are Knitters,The Petite Wool,95,No,Super Bulky,14,Snow White,,
Cotton Kings,Sultan,1093,Yes,Fine,40,Blue Lagoon,Blue,Teal
Lion Brand,Amazing,360,Yes,Medium,30,Mesa,Orange,Red
Garnstudio,DROPS Flora,191,No,Fine,36,Medium Purple,,
Hobbii,Winter Glow,328,Yes,Medium,30,Northern Lights,Purple,Blue
Debbie Bliss,Baby Cashmerino,137,No,Fine,38,Duck Egg,,
Paintbox,Simply Chunky,131,No,Bulky,16,Marine Blue,,
Rico,Rico Essentials Alpaca Blend,133,No,Light,32,Anthracite,,
Noro,Silk Garden,110,Yes,Medium,28,Autumn,Red,Green
Hobbii,Amigo,236,No,Medium,30,Petrol Blue,,
